UPI_Banks,Volume_(Mn)_By_Costumers,"Value (Cr) by Costumers",Volume_(Mn),Value_(Cr),Month,Year
"Paytm Payments Bank App",612.71,71874.13,706.37,88094.49,12,2021
"Paytm Payments Bank App",543.71,66920.55,631.3,81403.37,11,2021
"Paytm Payments Bank App",542.57,64727.41,632.18,80508.04,10,2021
"Paytm Payments Bank App",462.71,53793.06,543.55,61417.53,9,2021
"Paytm Payments Bank App",423.63,50021.4,498.65,56319.62,8,2021
"Paytm Payments Bank App",387.85,46406.52,454.06,51694.41,7,2021
"Paytm Payments Bank App",326.53,40614.09,383.05,44981.11,6,2021
"Paytm Payments Bank App",290.69,35715.48,343.81,43741.16,5,2021
"Paytm Payments Bank App",320.78,36859.2,372.7,41469.53,4,2021
"Paytm Payments Bank App",344.99,38653.06,401.16,43221.25,3,2021
"Paytm Payments Bank App",290.03,34405.44,340.71,38493.52,2,2021
"Paytm Payments Bank App",281.18,33909.5,332.69,37845.76,1,2021
