,"Volume (Mn) By Costumers
"
0,8.53
1,0.02
2,73.5
3,0.23
4,6.78
5,0.24
6,0.71
7,0.05
8,0.05
9,25.82
10,0.26
11,0.13
12,0.09
13,0.02
14,1.21
15,10.68
16,0.51
17,0.02
18,0.92
19,0.01
20,0.54
21,0.03
22,0.07
23,1584.20
24,4.94
25,0.08
26,29.87
27,0.02
28,1.22
29,2.65
30,0.13
31,0.74
32,0.01
33,0.01
34,2.05
35,1.02
36,0.25
37,0.04
38,6.88
39,0.06
40,0.27
41,3.87
42,0.02
43,615.9
44,2140.28
45,0.09
46,0.01
47,0.42
48,3.17
49,0.13
50,0.11
51,3.62
52,0.16
53,2.14
54,0.39
55,2.34
56,27.24
57,0.05
58,0.02
59,5.8
60,0.02
61,63.49
62,0.25
63,6.9
64,0.33
65,0.67
66,0.05
67,0.05
68,23.25
69,0.26
70,0.12
71,0.08
72,0.02
73,1.73
74,10.08
75,0.46
76,0.02
77,0.87
78,0.01
79,0.55
80,0.03
81,0.06
82,1524.09
83,4.59
84,0.08
85,27.39
86,0.02
87,1.21
88,2.21
89,0.11
90,0.77
91,0.01
92,0.01
93,1.97
94,1.13
95,0.25
96,0.04
97,6.91
98,0.08
99,0.25
100,3.78
101,0.02
102,613.77
103,2120.20
104,0.08
105,0.01
106,0.51
107,3.14
108,0.12
109,0.12
110,3.38
111,0.16
112,1.51
113,0.35
114,0.01
115,2.24
116,31.99
117,0.05
118,0.02
119,8.33
120,0.02
121,76.34
122,0.29
123,7.09
124,0.35
125,0.69
126,0.08
127,0.05
128,24.88
129,0.31
130,0.14
131,0.11
132,0.03
133,0.08
134,12.11
135,0.49
136,0.02
137,1.02
138,0.01
139,0.37
140,2.45
141,0.04
142,0.03
143,0.08
144,0.02
145,1838.12
146,0.83
147,5.45
148,0.1
149,31.49
150,0.03
151,2.7
152,2.95
153,0.11
154,0.01
155,1.03
156,0.01
157,0.01
158,2.27
159,1.32
160,0.3
161,0.04
162,7.92
163,0.1
164,0.24
165,3.6
166,0.02
167,729.63
168,2527.15
169,0.09
170,0.01
171,0.46
172,3.73
173,0.13
174,0.13
175,4.01
176,0.1
177,0.19
178,0.03
179,0.41
180,0.01
181,2.54
182,35.25
183,0.06
184,0.02
185,5.29
186,73.21
187,0.32
188,7.19
189,0.52
190,0.77
191,0.1
192,0.05
193,25.69
194,0.31
195,0.13
196,0.08
197,0.03
198,0.07
199,13.05
200,0.47
201,1.51
202,0.01
203,0.18
204,2.7
205,0.04
206,0.01
207,0.08
208,0.01
209,1914.77
210,0.61
211,5.9
212,0.11
213,32.82
214,0.03
215,2.49
216,2.8
217,0.14
218,0.01
219,1.02
220,0.01
221,2.1
222,1.47
223,0.01
224,0.27
225,0.04
226,7.96
227,0.09
228,0.19
229,2.37
230,0.02
231,740.76
232,2616.26
233,0.09
234,0.01
235,0.3
236,3.81
237,0.13
238,0.12
239,4.03
240,0.02
241,0.01
242,0.35
243,0.21
244,0.03
245,0.42
246,0.01
247,2.5
248,34.07
249,0.06
250,0.02
251,6.1
252,0.02
253,74.83
254,0.35
255,7.46
256,0.79
257,0.88
258,0.12
259,0.06
260,26.57
261,0.33
262,0.15
263,0.13
264,0.03
265,0.06
266,13.89
267,0.47
268,1.64
269,0.01
270,0.1
271,3.42
272,0.04
273,0.01
274,0.09
275,0.01
276,2079.92
277,0.51
278,6.95
279,0.1
280,32.75
281,0.03
282,4.75
283,3.1
284,0.16
285,0.01
286,1.01
287,0.01
288,2.08
289,1.79
290,0.1
291,0.33
292,0.04
293,8.5
294,0.09
295,0.2
296,2.46
297,0.02
298,780.87
299,2778.75
300,0.09
301,0.01
302,0.32
303,4.11
304,0.14
305,0.13
306,4.18
307,0.01
308,0.22
309,0.22
310,0.05
311,0.45
312,0.01
313,3.48
314,38.19
315,0.04
316,0.03
317,6.38
318,0.02
319,68.4
320,0.38
321,6.96
322,1.16
323,0.01
324,0.83
325,0.13
326,0.06
327,22.6
328,0.34
329,0.15
330,0.13
331,0.03
332,0.06
333,13.4
334,0.46
335,1.51
336,0.01
337,0.01
338,0.12
339,3.55
340,0.05
341,0.1
342,0.01
343,2025.89
344,0.72
345,8.24
346,0.11
347,35.25
348,0.03
349,7.03
350,3.98
351,0.17
352,0.01
353,1
354,0.01
355,1.87
356,1.89
357,0.13
358,0.32
359,0.04
360,8.33
361,0.11
362,0.17
363,2.31
364,0.02
365,778.87
366,2732.59
367,0.08
368,0.01
369,0.35
370,4.07
371,0.14
372,0.13
373,3.83
374,0.03
375,0.12
376,0.01
377,0.22
378,0.03
379,0.45
380,0.01
381,23.04
382,41.67
383,0.03
384,0.02
